title,genre,national,num_off_box,true_num_off_box,차이 ,,,,,
특종: 량첸살인기,thriller,SouthKorea,1352443,616481,735962,,,,,
화이트 하우스 다운,action,America,925655,569500,356155,,,,,
메카닉: 리크루트,action,America,407837,551897,144060,,,,,
페르디난드,animation,America,851611,533776,317835,,,,,
사이코메트리,mystery,SouthKorea,508268,531953,23685,,,,,
콰이어트 플레이스,horror,America,571512,526073,45439,,,,,
명탐정 코난: 11번째 스트라이커,animation,Japan,485963,524914,38951,,,,,
헬머니,comedy,SouthKorea,348397,519983,171586,,,,,
거울나라의 앨리스,adventure,America,325049,513202,188153,,,,,
극장판 포켓몬스터 너로 정했다!,animation,Japan,441726,509555,67829,,,,,
그레이트 월,fantasy,America,379646,501286,121640,,,,,
아부의 왕,comedy,SouthKorea,421614,497880,76266,,,,,
캐치미,comedy,SouthKorea,411135,492773,81638,,,,,
무서운 이야기 2,mystery,SouthKorea,577331,492465,84866,,,,,
스타 이즈 본,dramas,America,570434,490957,79477,,,,,
계춘할망,family,SouthKorea,617652,480987,136665,,,,,
소녀괴담,mystery,SouthKorea,356596,480528,123932,,,,,
조선미녀삼총사,comedy,SouthKorea,858321,480361,377960,,,,,
반드시 잡는다,thriller,SouthKorea,467179,446379,20800,,,,,
원라인,crime,SouthKorea,517328,433825,83503,,,,,
아메리칸 메이드,crime,America,531737,401541,130196,,,,,
명탐정 코난 : 이차원의 저격수,animation,Japan,295303,397381,102078,,,,,
피터 래빗,animation,America,341111,388300,47189,,,,,
나의 독재자,dramas,SouthKorea,874759,385934,488825,,,,,
그레이의 50가지 그림자,dramas,America,537752,364415,173337,,,,,
극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,animation,Japan,279567,333082,53515,,,,,
선 오브 갓,dramas,America,268628,329029,60401,,,,,
블레이드 러너 2049,SF,America,638182,321018,317164,,,,,
아기배달부 스토크,animation,America,312278,320353,8075,,,,,
도리화가,historical_drama,SouthKorea,351156,317505,33651,,,,,
위대한 소원,comedy,SouthKorea,523012,308180,214832,,,,,
덕구,dramas,SouthKorea,1044774,306126,738648,,,,,
로렉스,animation,America,890834,297025,593809,,,,,
더 그레이,action,America,248759,292217,43458,,,,,
앨빈과 슈퍼밴드: 악동 어드벤처,animation,America,218680,289645,70965,,,,,
네버엔딩 스토리,comedy,SouthKorea,247998,283449,35451,,,,,
우리는 동물원을 샀다,family,America,356110,276334,79776,,,,,
롤러코스터,comedy,SouthKorea,298362,270148,28214,,,,,
헨젤과 그레텔: 마녀 사냥꾼 3D,action,America,310281,269510,40771,,,,,
