genre,rmse,r2score
action,0,0
adventure,0,0
animation,0,0
comedy,0,0
crime,0,0
documentry,0,0
dramas,0,0
family,0,0
fantasy,0,0
historical_drama,0,0
horror,0,0
melo_romance,0,0
musical,0,0
mystery,0,0
SF,0,0
show,0,0
thriller,0,0
war,0,0
