순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
1,명량,김한민,(주)빅스톤픽쳐스,,씨제이이앤엠(주),2014-07-30,개봉영화,장편,한국,1587,135748398910,17613682,"33,121,225,810","4,163,666",사극,15세이상관람가,일반영화
2,극한직업,이병헌,"(주)어바웃필름,영화사 해그림 주식회사,씨제이이앤엠(주)",,씨제이이앤엠(주),2019-01-23,개봉영화,장편,한국,1978,139647979516,16264944,"31,858,660,536","3,638,287",코미디,15세이상관람가,일반영화
3,신과함께-죄와 벌,김용화,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",,롯데쇼핑㈜롯데엔터테인먼트,2017-12-20,개봉영화,장편,한국,1912,115698654137,14410754,"27,530,825,087","3,346,172",판타지,12세이상관람가,일반영화
4,국제시장,윤제균,"(주)제이케이필름,씨제이이앤엠(주)",,씨제이이앤엠(주),2014-12-17,개봉영화,장편,한국,966,110828014630,14245998,"25,842,519,330","3,233,946",드라마,12세이상관람가,일반영화
5,어벤져스: 엔드게임,"안소니 루소,조 루소",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-04-24,개봉영화,장편,미국,2835,122182694160,13934592,"33,577,136,860","3,597,963",액션,12세이상관람가,일반영화
6,베테랑,류승완,"(주)외유내강,(주)필름케이",,씨제이이앤엠(주),2015-08-05,개봉영화,장편,한국,1064,105024756250,13395400,"26,766,369,950","3,290,366",액션,15세이상관람가,일반영화
7,도둑들,최동훈,(주)케이퍼필름,,(주)쇼박스,2012-07-25,개봉영화,장편,한국,1072,93665568500,12983330,"26,089,426,500","3,468,906",액션,15세이상관람가,일반영화
8,7번방의 선물,이환경,"(주)화인웍스,(주)씨엘엔터테인먼트",,(주)넥스트엔터테인먼트월드(NEW),2013-01-23,개봉영화,장편,한국,787,91431914670,12811206,"22,800,931,670","3,070,053",코미디,15세이상관람가,일반영화
9,암살,최동훈,(주)케이퍼필름,,(주)쇼박스,2015-07-22,개봉영화,장편,한국,1519,98463132781,12705700,"25,306,651,181","3,155,960",액션,15세이상관람가,일반영화
10,알라딘,가이 리치,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-05-23,개봉영화,장편,미국,1311,106955138359,12552283,"30,198,375,039","3,374,837",어드벤처,전체관람가,일반영화
11,"광해, 왕이 된 남자",추창민,"리얼라이즈픽쳐스(주),씨제이이앤엠(주)",,씨제이이앤엠(주),2012-09-13,개봉영화,장편,한국,810,88900208769,12319542,"25,192,804,727","3,355,700",사극,15세이상관람가,일반영화
12,신과함께-인과 연,김용화,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",,롯데컬처웍스(주)롯데엔터테인먼트,2018-08-01,개봉영화,장편,한국,2235,102476768809,12253247,"22,905,551,759","2,636,542",판타지,12세이상관람가,일반영화
13,택시운전사,장훈,더램프(주),,(주)쇼박스,2017-08-02,개봉영화,장편,한국,1906,95284747049,12099971,"22,186,916,199","2,729,932",드라마,15세이상관람가,일반영화
14,부산행,연상호,(주)영화사레드피터,,(주)넥스트엔터테인먼트월드(NEW),2016-07-20,개봉영화,장편,한국,1788,93175877048,11565078,"23,020,827,248","2,754,686",액션,15세이상관람가,일반영화
15,변호인,양우석,위더스필름(주),,(주)넥스트엔터테인먼트월드(NEW),2013-12-18,개봉영화,장편,한국,923,82856578300,11372451,"22,571,929,000","2,978,688",드라마,15세이상관람가,일반영화
16,어벤져스: 인피니티 워,"안소니 루소,조 루소",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2018-04-25,개봉영화,장편,미국,2553,99919006769,11211880,"28,631,269,069","3,008,819",액션,12세이상관람가,일반영화
17,어벤져스: 에이지 오브 울트론,조스 웨던,,월트디즈니컴퍼니코리아(주),"월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아(주)",2015-04-23,개봉영화,장편,미국,1843,88582586366,10494499,"25,001,906,266","2,823,388",액션,12세이상관람가,일반영화
18,겨울왕국,"크리스 벅,제니퍼 리",,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-01-16,개봉영화,장편,미국,1010,82461504400,10296101,"25,847,243,500","3,003,446",애니메이션,전체관람가,일반영화
19,인터스텔라,크리스토퍼 놀란,,워너브러더스 코리아(주),워너브러더스 코리아(주),2014-11-06,개봉영화,장편,미국,1342,82274331200,10273803,"25,500,349,600","3,079,036",SF,12세이상관람가,일반영화
20,기생충,봉준호,(주)바른손이앤에이,,씨제이이앤엠(주),2019-05-30,개봉영화,장편,한국,1948,85883963645,10085275,"23,443,568,915","2,692,855",드라마,15세이상관람가,일반영화
21,보헤미안 랩소디,브라이언 싱어,,이십세기폭스코리아(주),"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)",2018-10-31,개봉영화,장편,미국,936,86280975785,9948386,"27,849,793,695","3,097,336",드라마,12세이상관람가,일반영화
22,검사외전,이일형,"(주)영화사 월광,(주)사나이픽처스",,(주)쇼박스,2016-02-03,개봉영화,장편,한국,1812,77252755264,9699092,"18,302,525,664","2,219,587",범죄,15세이상관람가,일반영화
23,엑시트,이상근,"(주)외유내강,(주)필름케이",,씨제이이앤엠(주),2019-07-31,개봉영화,장편,한국,1660,79232012162,9426011,"18,533,549,352","2,132,869",코미디,12세이상관람가,일반영화
24,관상,한재림,"(주)주피터필름,(주)쇼박스",,(주)쇼박스,2013-09-11,개봉영화,장편,한국,1190,66005451500,9134586,"19,311,179,000","2,561,744",사극,15세이상관람가,일반영화
25,아이언맨 3,쉐인 블랙,파라마운트 픽쳐스,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-04-25,개봉영화,장편,미국,1381,70806191000,9001309,"21,668,935,500","2,595,269",액션,12세이상관람가,일반영화
26,설국열차,봉준호,"(주)모호필름,오퍼스픽쳐스(유)",,씨제이이앤엠(주),2013-08-01,개봉영화,장편,한국,1128,64016480000,8914845,"18,975,866,000","2,550,437",SF,15세이상관람가,일반영화
27,캡틴 아메리카: 시빌 워,"안소니 루소,조 루소",,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2016-04-27,개봉영화,장편,미국,1991,72672111827,8677249,"21,248,121,149","2,400,069",액션,12세이상관람가,일반영화
28,수상한 그녀,황동혁,"(주)예인플러스엔터테인먼트,아이앤코스모스(주)시네와이즈필름",,씨제이이앤엠(주),2014-01-22,개봉영화,장편,한국,692,62696639249,8656397,"15,358,810,049","2,042,110",드라마,15세이상관람가,일반영화
29,해적: 바다로 간 산적,이석훈,(주)하리마오픽쳐스,,롯데쇼핑㈜롯데엔터테인먼트,2014-08-06,개봉영화,장편,한국,838,66240631706,8646758,"14,906,345,006","1,868,694",어드벤처,12세이상관람가,일반영화
30,스파이더맨: 파 프롬 홈,존 왓츠,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2019-07-02,개봉영화,장편,미국,2142,69000711100,8020208,"18,515,112,400","2,051,196",액션,12세이상관람가,일반영화
31,히말라야,이석훈,(주)제이케이필름,,씨제이이앤엠(주),2015-12-16,개봉영화,장편,한국,1009,60173583015,7759473,"13,920,553,930","1,738,016",드라마,12세이상관람가,일반영화
32,밀정,김지운,"(주)다크서클픽쳐스,워너브러더스 코리아(주),(주)영화사하얼빈",,워너브러더스 코리아(주),2016-09-07,개봉영화,장편,한국,1444,61158644831,7487545,"15,436,298,021","1,827,424",액션,15세이상관람가,일반영화
33,스파이더맨: 홈 커밍,존 왓츠,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-07-05,개봉영화,장편,미국,1965,59120173820,7257973,"16,753,103,620","1,969,107",액션,12세이상관람가,일반영화
34,1987,장준환,(주)우정필름,,씨제이이앤엠(주),2017-12-27,개봉영화,장편,한국,1299,58165581145,7231638,"14,638,920,495","1,776,877",드라마,15세이상관람가,일반영화
35,베를린,류승완,"(주)외유내강,씨제이이앤엠(주)",,씨제이이앤엠(주),2013-01-30,개봉영화,장편,한국,894,52354931637,7166199,"16,070,379,637","2,118,794",액션,15세이상관람가,일반영화
36,터널,김성훈,"(주)어나더썬데이,(주)비에이엔터테인먼트",,(주)쇼박스,2016-08-10,개봉영화,장편,한국,1105,57510324417,7118592,"14,121,558,017","1,675,010",드라마,12세이상관람가,일반영화
37,어벤져스,조스 웨던,,한국소니픽쳐스릴리징브에나비스타영화㈜,"월트디즈니컴퍼니코리아 유한책임회사,한국소니픽쳐스릴리징브에나비스타영화㈜",2012-04-26,개봉영화,장편,미국,967,59557853478,7074867,"19,280,107,897","2,147,619",액션,12세이상관람가,일반영화
38,내부자들,우민호,(유)내부자들 문화전문회사,,(주)쇼박스,2015-11-19,개봉영화,장편,한국,1075,56596582057,7071763,"16,340,245,357","1,972,885",범죄,청소년관람불가,일반영화
39,인천상륙작전,이재한,(주)태원엔터테인먼트,,씨제이이앤엠(주),2016-07-27,개봉영화,장편,한국,1049,55101410303,7049643,"11,459,996,563","1,427,944",전쟁,12세이상관람가,일반영화
40,럭키,이계벽,(주)용필름,,(주)쇼박스,2016-10-13,개봉영화,장편,한국,1158,56361435256,6965706,"13,812,629,836","1,640,015",코미디,15세이상관람가,일반영화
41,은밀하게 위대하게,장철수,(주)엠씨엠씨,,(주)쇼박스,2013-06-05,개봉영화,장편,한국,1341,48663939413,6953800,"12,415,574,413","1,691,014",액션,15세이상관람가,일반영화
42,곡성,나홍진,"(주)사이드미러,이십세기폭스 인터내셔널 프로덕션",,이십세기폭스코리아(주),2016-05-12,개봉영화,장편,한국,1485,55853108382,6878264,"15,445,041,342","1,829,923",미스터리,15세이상관람가,일반영화
43,범죄도시,강윤성,"(주)홍필름,(주)비에이엔터테인먼트",,"메가박스중앙(주)플러스엠,(주)키위미디어그룹",2017-10-03,개봉영화,장편,한국,1315,56077813249,6851297,"14,046,905,449","1,670,254",범죄,청소년관람불가,일반영화
44,늑대소년,조성희,(주)영화사비단길,,씨제이이앤엠(주),2012-10-31,개봉영화,장편,한국,706,46593107500,6654837,"12,336,313,500","1,677,173",멜로/로맨스,15세이상관람가,일반영화
45,군함도,류승완,"(주)외유내강,(주)필름케이",,씨제이이앤엠(주),2017-07-26,개봉영화,장편,한국,2027,50510565168,6592151,"11,091,878,868","1,398,649",액션,15세이상관람가,일반영화
46,미션 임파서블: 폴아웃,크리스토퍼 맥쿼리,파라마운트 픽쳐스,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,2018-07-25,개봉영화,장편,미국,1957,55888375112,6584915,"14,891,043,562","1,686,255",액션,15세이상관람가,일반영화
47,다크 나이트 라이즈,크리스토퍼 놀란,,워너브러더스 코리아(주),워너브러더스 코리아(주),2012-07-19,개봉영화,장편,미국,1210,47644838000,6396528,"16,258,149,500","2,057,529",액션,15세이상관람가,일반영화
48,사도,이준익,(주)타이거픽쳐스,,(주)쇼박스,2015-09-16,개봉영화,장편,한국,1210,48842902501,6246849,"12,987,928,301","1,606,486",사극,12세이상관람가,일반영화
49,미션 임파서블: 로그네이션,크리스토퍼 맥쿼리,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2015-07-30,개봉영화,장편,미국,1202,48547353607,6126488,"13,751,315,607","1,669,524",액션,15세이상관람가,일반영화
50,킹스맨 : 시크릿 에이전트,매튜 본,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-02-11,개봉영화,장편,미국,706,50333635795,6125154,"16,707,645,195","1,968,882",액션,청소년관람불가,일반영화
51,연평해전,김학순,(주)로제타시네마,,(주)넥스트엔터테인먼트월드(NEW),2015-06-24,개봉영화,장편,한국,1013,45560620330,6043458,"9,906,059,630","1,265,879",드라마,12세이상관람가,일반영화
52,레미제라블,톰 후퍼,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2012-12-19,개봉영화,장편,미국,696,43044999000,5911890,"16,482,217,500","2,190,090",드라마,12세이상관람가,일반영화
53,캡틴 마블,"애너 보든,라이언 플렉",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-03-06,개봉영화,장편,미국,2100,51491272223,5801069,"15,433,909,683","1,650,932",액션,12세이상관람가,일반영화
54,쥬라기 월드: 폴른 킹덤,후안 안토니오 바요나,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2018-06-06,개봉영화,장편,미국,1972,49770711037,5661128,"12,526,470,537","1,342,621",액션,12세이상관람가,일반영화
55,청년경찰,김주환,"(주)무비락,(주)도서관옆스튜디오,베리굿스튜디오(주)",,롯데쇼핑㈜롯데엔터테인먼트,2017-08-09,개봉영화,장편,한국,1102,44241099316,5636259,"9,885,607,016","1,207,318",액션,15세이상관람가,일반영화
56,숨바꼭질,허정,(주)드림캡쳐,,(주)넥스트엔터테인먼트월드(NEW),2013-08-14,개봉영화,장편,한국,779,39593038500,5602543,"10,079,982,000","1,356,936",스릴러,15세이상관람가,일반영화
57,덕혜옹주,허진호,"(주)하이브미디어코프,(주)영화사호필름 ,(주)디씨지플러스",,롯데쇼핑㈜롯데엔터테인먼트,2016-08-03,개봉영화,장편,한국,964,44344141109,5593551,"10,625,578,869","1,304,324",사극,12세이상관람가,일반영화
58,더 테러 라이브,김병우,(주)씨네이천,,롯데쇼핑㈜롯데엔터테인먼트,2013-07-31,개봉영화,장편,한국,743,39866712881,5583596,"11,349,884,881","1,525,130",범죄,15세이상관람가,일반영화
59,쥬라기 월드,콜린 트레보로우,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-06-11,개봉영화,장편,미국,1290,47800698826,5546792,"13,625,824,326","1,502,391",액션,12세이상관람가,일반영화
60,감시자들,"조의석,김병서",영화사 집,,(주)넥스트엔터테인먼트월드(NEW),2013-07-03,개봉영화,장편,한국,949,39298005179,5496547,"11,031,549,179","1,477,594",범죄,15세이상관람가,일반영화
61,앤트맨과 와스프,페이튼 리드,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2018-07-04,개봉영화,장편,미국,1775,47465443185,5447826,"13,821,594,585","1,503,229",액션,12세이상관람가,일반영화
62,닥터 스트레인지,스콧 데릭슨,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2016-10-26,개봉영화,장편,미국,1503,47482530396,5446379,"15,365,072,146","1,657,823",액션,12세이상관람가,일반영화
63,검은 사제들,장재현,영화사 집,,씨제이이앤엠(주),2015-11-05,개봉영화,장편,한국,1088,42395347092,5440945,"11,618,059,792","1,428,491",미스터리,15세이상관람가,일반영화
64,안시성,김광식,"(주)영화사수작,(주)스튜디오앤뉴,모티브픽쳐스(주)",,(주)넥스트엔터테인먼트월드(NEW),2018-09-19,개봉영화,장편,한국,1540,46335334026,5440186,"10,028,662,426","1,146,191",사극,12세이상관람가,일반영화
65,블랙 팬서,라이언 쿠글러,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2018-02-14,개봉영화,장편,미국,1620,45883143457,5398994,"13,105,688,057","1,468,761",액션,12세이상관람가,일반영화
66,트랜스포머: 사라진 시대,마이클 베이,,씨제이이앤엠(주),씨제이이앤엠(주),2014-06-25,개봉영화,장편,미국,1602,44012272845,5295801,"11,664,376,045","1,323,527",액션,12세이상관람가,일반영화
67,완벽한 타인,이재규,"(주)필름몬스터,드라마하우스(주)",,롯데컬처웍스(주)롯데엔터테인먼트,2018-10-31,개봉영화,장편,한국,1313,44356752474,5294119,"11,870,044,374","1,373,292",드라마,15세이상관람가,일반영화
68,월드 워 Z,마크 포스터,플랜 비 엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2013-06-20,개봉영화,장편,미국,964,38555357000,5237525,"12,048,296,500","1,562,677",드라마,15세이상관람가,일반영화
69,타워,김지훈,"씨제이이앤엠(주),(주)더타워픽쳐스",,씨제이이앤엠(주),2012-12-25,개봉영화,장편,한국,617,37654858000,5181014,"9,052,298,500","1,186,378",드라마,12세이상관람가,일반영화
70,미녀와 야수,빌 콘돈,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2017-03-16,개봉영화,장편,미국,1627,42130589579,5137993,"13,177,630,229","1,531,839",멜로/로맨스,전체관람가,일반영화
71,독전,이해영,(주)용필름,,(주)넥스트엔터테인먼트월드(NEW),2018-05-22,개봉영화,장편,한국,1357,43484892913,5063620,"10,658,158,413","1,201,461",범죄,15세이상관람가,일반영화
72,아쿠아맨,제임스 완,,워너브러더스 코리아(주),워너브러더스 코리아(주),2018-12-19,개봉영화,장편,미국,1285,44113456704,5038134,"11,897,439,184","1,294,275",액션,12세이상관람가,일반영화
73,공작,윤종빈,"(주)영화사 월광,(주)사나이픽처스",,씨제이이앤엠(주),2018-08-08,개봉영화,장편,한국,1317,42759410176,4971261,"10,296,507,676","1,158,151",드라마,12세이상관람가,일반영화
74,인사이드 아웃,피트 닥터,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2015-07-09,개봉영화,장편,미국,777,38015586936,4968687,"12,814,825,236","1,594,626",애니메이션,전체관람가,일반영화
75,킹스맨: 골든 서클,매튜 본,,이십세기폭스코리아(주),이십세기폭스코리아(주),2017-09-27,개봉영화,장편,미국,1687,40987484736,4945484,"12,306,638,886","1,419,759",액션,청소년관람불가,일반영화
76,마스터,조의석,영화사 집,,씨제이이앤엠(주),2016-12-21,개봉영화,장편,한국,1501,39811539665,4940091,"10,117,278,965","1,213,122",액션,15세이상관람가,일반영화
77,바람과 함께 사라지다,김주호,"(주)두타연,(주)에이디사공육",,(주)넥스트엔터테인먼트월드(NEW),2012-08-08,개봉영화,장편,한국,694,34524377161,4897551,"8,302,901,161","1,122,802",코미디,12세이상관람가,일반영화
78,마션,리들리 스콧,,이십세기폭스코리아(주),"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)",2015-10-08,개봉영화,장편,미국,1132,39612764295,4875494,"12,914,889,095","1,509,471",액션,12세이상관람가,일반영화
79,토르: 라그나로크,타이카 와이티티,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2017-10-25,개봉영화,장편,미국,1640,39248432595,4857152,"12,088,848,195","1,419,464",액션,12세이상관람가,일반영화
80,어메이징 스파이더맨,마크 웹,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-06-28,개봉영화,장편,미국,1118,41163951235,4853123,"13,100,185,524","1,446,116",액션,12세이상관람가,일반영화
81,군도: 민란의 시대,윤종빈,"(주)영화사 월광,(주)쇼박스",,(주)쇼박스,2014-07-23,개봉영화,장편,한국,1394,36987755999,4774895,"9,976,707,399","1,239,945",사극,15세이상관람가,일반영화
82,라이온 킹,존 파브로,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-07-17,개봉영화,장편,미국,1936,41518977430,4743184,"11,620,751,790","1,218,042",어드벤처,전체관람가,일반영화
83,범죄와의 전쟁: 나쁜놈들 전성시대,윤종빈,"(주)팔레트픽처스,(주)쇼박스",,(주)쇼박스,2012-02-02,개봉영화,장편,한국,699,36479147500,4710454,"11,716,858,500","1,451,900",범죄,청소년관람불가,일반영화
84,주토피아,"바이론 하워드,리치 무어",,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2016-02-17,개봉영화,장편,미국,661,37077444042,4703245,"12,142,771,642","1,465,960",애니메이션,전체관람가,일반영화
85,엣지 오브 투모로우,더그 라이만,,워너브러더스 코리아(주),워너브러더스 코리아(주),2014-06-04,개봉영화,장편,미국,801,38703942201,4697142,"12,201,872,401","1,401,887",액션,12세이상관람가,일반영화
86,신세계,박훈정,"(주)사나이픽처스,(주)페퍼민트앤컴퍼니,(주)대명문화공장,(주)파트너스케이",,(주)넥스트엔터테인먼트월드(NEW),2013-02-21,개봉영화,장편,한국,671,34881330905,4682492,"11,114,978,905","1,435,648",범죄,청소년관람불가,일반영화
87,신비한 동물사전,데이빗 예이츠,,워너브러더스 코리아(주),워너브러더스 코리아(주),2016-11-16,개봉영화,장편,미국,1431,39337263058,4666993,"12,640,487,458","1,425,528",어드벤처,12세이상관람가,일반영화
88,내 아내의 모든 것,민규동,"(주)수필름,영화사 집",,(주)넥스트엔터테인먼트월드(NEW),2012-05-17,개봉영화,장편,한국,563,34222160500,4598583,"11,547,286,500","1,475,165",코미디,15세이상관람가,일반영화
89,연가시,박정우,(주)오죤필름,,씨제이이앤엠(주),2012-07-05,개봉영화,장편,한국,759,32154766664,4513026,"7,819,583,000","1,040,068",공포(호러),15세이상관람가,일반영화
90,강철비,양우석,"(주)와이웍스엔터테인먼트,(주)모팩",,(주)넥스트엔터테인먼트월드(NEW),2017-12-14,개봉영화,장편,한국,1426,35477912466,4451336,"8,694,723,516","1,060,541",액션,15세이상관람가,일반영화
91,엑스맨: 데이즈 오브 퓨처 패스트,브라이언 싱어,,이십세기폭스코리아(주),이십세기폭스코리아(주),2014-05-22,개봉영화,장편,미국,1056,34654558766,4313871,"11,315,080,666","1,345,720",액션,12세이상관람가,일반영화
92,판도라,박정우,(주)씨에이씨엔터테인먼트,,(주)넥스트엔터테인먼트월드(NEW),2016-12-07,개봉영화,장편,한국,1166,33861718164,4302032,"6,941,358,164","846,904",드라마,12세이상관람가,일반영화
93,아가씨,박찬욱,"유한회사 아가씨에프에스,(주)모호필름,(주)용필름",,씨제이이앤엠(주),2016-06-01,개봉영화,장편,한국,1171,35114332791,4277071,"10,881,501,871","1,283,972",스릴러,청소년관람불가,일반영화
94,어메이징 스파이더맨 2,마크 웹,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-04-23,개봉영화,장편,미국,1312,34869056800,4168350,"10,562,832,700","1,187,974",액션,12세이상관람가,일반영화
95,용의자,원신연,"(주)그린피쉬,(주)쇼박스",,(주)쇼박스,2013-12-24,개봉영화,장편,한국,807,30037161000,4131248,"7,563,772,000","997,760",액션,15세이상관람가,일반영화
96,건축학개론,이용주,(주)명필름,,롯데쇼핑㈜롯데엔터테인먼트,2012-03-22,개봉영화,장편,한국,593,30219800500,4110645,"11,003,948,000","1,431,173",멜로/로맨스,12세이상관람가,일반영화
97,댄싱퀸,이석훈,"(주)제이케이필름,씨제이이앤엠(주)",,씨제이이앤엠(주),2012-01-18,개봉영화,장편,한국,534,30129259500,4057546,"8,223,006,000","1,055,086",코미디,12세이상관람가,일반영화
98,꾼,장창원,(주)영화사두둥,,(주)쇼박스,2017-11-22,개봉영화,장편,한국,1314,31313568795,4018341,"7,524,464,445","931,901",범죄,15세이상관람가,일반영화
99,혹성탈출: 반격의 서막,맷 리브스,,이십세기폭스코리아(주),이십세기폭스코리아(주),2014-07-10,개봉영화,장편,미국,922,31509793095,4002134,"9,067,860,195","1,095,630",액션,12세이상관람가,일반영화
100,타짜-신의 손,강형철,(주)싸이더스,,"롯데쇼핑㈜롯데엔터테인먼트,(주)싸이더스",2014-09-03,개봉영화,장편,한국,890,32267244827,4001813,"8,495,857,527","1,016,403",드라마,청소년관람불가,일반영화
101,쿵푸팬더3,"여인영,알레산드로 칼로니",드림웍스 애니메이션,씨제이이앤엠(주),씨제이이앤엠(주),2016-01-28,개봉영화,장편,미국,1365,31340798156,3984812,"8,695,148,256","1,045,418",애니메이션,전체관람가,일반영화
102,캡틴 아메리카: 윈터 솔져,"조 루소,안소니 루소",,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-03-26,개봉영화,장편,미국,1106,31710585385,3963220,"10,405,400,885","1,237,982",액션,15세이상관람가,일반영화
103,박수건달,조진규,"주식회사 제이앤피,박수건달문화산업전문(유),(주)쇼박스",,(주)쇼박스,2013-01-09,개봉영화,장편,한국,599,28343986569,3893216,"6,808,915,069","894,127",코미디,15세이상관람가,일반영화
104,베놈,루벤 플레셔,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2018-10-03,개봉영화,장편,미국,1308,34100211207,3888096,"9,452,036,857","1,026,909",액션,15세이상관람가,일반영화
105,조선명탐정 : 사라진 놉의 딸,김석윤,청년필름(주),,(주)쇼박스,2015-02-11,개봉영화,장편,한국,811,30456879428,3872015,"6,908,501,928","845,522",사극,12세이상관람가,일반영화
106,역린,이재규,"굿초이스컷픽쳐스(주),(주)파파스필름",,롯데쇼핑㈜롯데엔터테인먼트,2014-04-30,개봉영화,장편,한국,1054,29893297890,3849433,"8,426,821,290","1,044,988",사극,15세이상관람가,일반영화
107,매드 맥스: 분노의 도로,조지 밀러,,워너브러더스 코리아(주),워너브러더스 코리아(주),2015-05-14,개봉영화,장편,미국,799,32906364462,3842441,"11,443,176,062","1,271,954",액션,15세이상관람가,일반영화
108,남한산성,황동혁,(주)싸이런픽쳐스,,씨제이이앤엠(주),2017-10-03,개봉영화,장편,한국,1229,31067321992,3829891,"7,375,553,392","889,444",사극,15세이상관람가,일반영화
109,데드풀 2,데이빗 레이치,,이십세기폭스코리아(주),이십세기폭스코리아(주),2018-05-16,개봉영화,장편,미국,1576,34185664639,3784602,"10,757,126,939","1,145,250",액션,청소년관람불가,일반영화
110,암수살인,김태균,"(주)필름295,(주)블러썸픽쳐스",,(주)쇼박스,2018-10-03,개봉영화,장편,한국,1177,32855895548,3772620,"7,777,232,448","862,386",범죄,15세이상관람가,일반영화
111,국가부도의 날,최국희,영화사 집,,씨제이이앤엠(주),2018-11-28,개봉영화,장편,한국,1180,30891765837,3754983,"7,993,870,137","937,443",드라마,12세이상관람가,일반영화
112,미이라,알렉스 커츠먼,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-06-06,개봉영화,장편,미국,1257,30504689978,3689325,"7,851,059,428","909,202",액션,15세이상관람가,일반영화
113,분노의 질주: 더 익스트림,F. 게리 그레이,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-04-12,개봉영화,장편,미국,1469,29981156348,3653238,"7,936,210,998","932,027",액션,15세이상관람가,일반영화
114,너의 이름은.,신카이 마코토,,(주)미디어캐슬,메가박스중앙(주)플러스엠,2017-01-04,개봉영화,장편,일본,947,29248867156,3637122,"9,352,306,256","1,124,392",애니메이션,12세이상관람가,일반영화
115,인턴,낸시 마이어스,,워너브러더스 코리아(주),워너브러더스 코리아(주),2015-09-24,개봉영화,장편,미국,496,28518443148,3610642,"10,024,307,548","1,228,273",코미디,12세이상관람가,일반영화
116,라라랜드,데이미언 셔젤,,판씨네마(주),판씨네마(주),2016-12-07,개봉영화,장편,미국,727,30006844694,3597193,"13,131,083,194","1,536,629",드라마,12세이상관람가,일반영화
117,귀향,조정래,주식회사 제이오엔터테인먼트코리아,,(주)와우픽쳐스,2016-02-24,개봉영화,장편,한국,876,27245051990,3586523,"6,310,471,892","801,788",드라마,15세이상관람가,일반영화
118,신의 한 수,조범구,"(주)메이스엔터테인먼트,(주)아지트필름",,(주)쇼박스,2014-07-03,개봉영화,장편,한국,794,28777712256,3562123,"8,104,315,156","965,372",범죄,청소년관람불가,일반영화
