순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
6019,위치 오브 하우스,앤디 밋튼,,라온아이(주),라온아이(주),2019-05-02,개봉영화,장편,미국,1,5000,1,0,0,공포(호러),15세이상관람가,일반영화
6020,위험한 비디오:죽음의 정사,우다가와 다이고,,(주)영진크리에이티브,(주)영진크리에이티브,2018-06-07,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
6021,위험한 섹스: 아야노의 불륜,토모마츠 나오유키,,(주)버킷스튜디오,(주)버킷스튜디오,2016-04-18,개봉영화,장편,일본,1,5000,1,"5,000",1,성인물(에로),청소년관람불가,일반영화
6022,위험한 유부녀들,후지모토 죠지,,(주)영진크리에이티브,(주)영진크리에이티브,2018-11-25,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
6023,위험한 유부녀들 무삭제판,후지모토 죠지,,(주)영진크리에이티브,(주)영진크리에이티브,2019-01-17,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
6024,위험한 유혹,제임스 프랭코,,(주)케이알씨지,(주)케이알씨지,2016-12-28,개봉영화,장편,미국,1,5000,1,0,0,드라마,청소년관람불가,일반영화
6025,위험한 중독 무삭제판,최율권희,㈜리필름,,(주)블루브릭,2016-01-13,개봉영화,장편,한국,1,5000,1,0,0,드라마,청소년관람불가,일반영화
6026,유니폼을 벗은 관리인,,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2018-01-18,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
6027,유니폼을 벗은 여사원,나카무라 켄타로,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2017-05-25,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
6028,유부녀 가정부와 호기심 많은 아들래미,나카메구로 코우지,,(주)플라이어,(주)플라이어,2018-05-03,개봉영화,장편,일본,1,6000,1,0,0,드라마,청소년관람불가,일반영화
6029,유부녀 가정부의 정사,아즈마 지로,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2015-10-14,개봉영화,장편,일본,1,5000,1,0,0,성인물(에로),청소년관람불가,일반영화
6030,유부녀 교환섹스,쥬조,,(주)영진크리에이티브,(주)영진크리에이티브,2019-06-04,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
6031,유부녀 길들이기,겐부,,(주)트루에버,(주)트루에버,2019-03-27,개봉영화,장편,일본,1,1000,1,0,0,성인물(에로),청소년관람불가,일반영화
6032,유부녀 만남 사이트,타카하라 요시카즈,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2016-04-27,개봉영화,장편,일본,1,8000,1,0,0,성인물(에로),청소년관람불가,일반영화
6033,유부녀 맛보기,잇신타,,(주)플라이어,(주)플라이어,2019-06-18,개봉영화,장편,일본,1,6000,1,0,0,드라마,청소년관람불가,일반영화
6034,유부녀 매춘 실제상황,이케시마 유타카,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2016-05-02,개봉영화,장편,일본,1,8000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
6035,유부녀 미용사의 유혹,카토 미키,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2018-10-12,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
6036,유부녀 보험 영업,사카타 히로키,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2018-08-09,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
6037,유부녀 성노예생활,우수바시 수이,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2016-08-24,개봉영화,장편,일본,1,8000,1,0,0,성인물(에로),청소년관람불가,일반영화
6038,유부녀 신체면접관,모리 신이치,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2018-08-02,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
6039,유부녀 야썰,최석원,(주)씨맥스커뮤니케이션즈,,(주)씨맥스커뮤니케이션즈,2017-12-05,개봉영화,장편,한국,1,5000,1,"5,000",1,,청소년관람불가,일반영화
6040,유부녀 여사원 - 성희롱,아라키 타로,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2016-04-20,개봉영화,장편,일본,1,8000,1,0,0,성인물(에로),청소년관람불가,일반영화
6041,유부녀 육즙의 파티,하마노 사치,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2017-03-01,개봉영화,장편,일본,1,8000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
6042,유부녀 육체 상담실,아카바네 키쿠지로,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2018-11-02,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
6043,유부녀 정사 시승식,카타오카 슈지,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2016-03-02,개봉영화,장편,일본,1,8000,1,0,0,성인물(에로),청소년관람불가,일반영화
6044,유부녀 - 남편 외출중,스기야마 타로,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2016-04-13,개봉영화,장편,일본,1,8000,1,0,0,성인물(에로),청소년관람불가,일반영화
6045,유부녀:남편은 출장중,아야노코우지 이쵸쿠센,,(주)영진크리에이티브,(주)영진크리에이티브,2019-06-03,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
6046,유부녀:탐스러운 옆집남자의 물건,네지메 지로,,(주)영진크리에이티브,(주)영진크리에이티브,2017-12-28,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
6047,유부녀들(무삭제),경석호,영화사 인연,,(주)소나무픽쳐스,2016-02-17,개봉영화,장편,한국,1,9000,1,"9,000",1,멜로/로맨스,청소년관람불가,일반영화
6048,유부녀들:달아오른 날,사노 B사쿠,,(주)영진크리에이티브,(주)영진크리에이티브,2019-07-08,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
6049,유부녀들:반항 후 신음,나가에 타카미,,(주)영진크리에이티브,(주)영진크리에이티브,2018-12-20,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
6050,유부녀들:잘하는 남자를 좋아해,나가에 타카미,,(주)영진크리에이티브,(주)영진크리에이티브,2017-06-30,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
6051,유부녀들:쾌락 스와핑,카츠야마 시게오,,(주)영진크리에이티브,(주)영진크리에이티브,2016-02-06,개봉영화,장편,일본,1,10000,1,"10,000",1,멜로/로맨스,청소년관람불가,일반영화
6052,유부녀들의 맛 무삭제판,유해종,(주)영화사가을,,(주)영화사가을,2018-11-13,개봉영화,장편,한국,1,5000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
6053,유부녀와 불기둥,테이 쟈가,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2016-11-03,개봉영화,장편,일본,1,8000,1,0,0,성인물(에로),청소년관람불가,일반영화
6054,유부녀와 속옷 도둑,아마엔보 쇼군,,(주)영진크리에이티브,(주)영진크리에이티브,2019-06-03,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
6055,유부녀의 각성 - 수치심,카타오카 슈지,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2016-04-06,개봉영화,장편,일본,1,8000,1,0,0,성인물(에로),청소년관람불가,일반영화
6056,유부녀의 누드 알바,나카메구로 코우지,,(주)플라이어,(주)플라이어,2017-10-20,개봉영화,장편,일본,1,6000,1,0,0,드라마,청소년관람불가,일반영화
6057,유부녀의 불륜고백,나가에 타카미,,(주)영진크리에이티브,(주)영진크리에이티브,2018-02-21,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
6058,유부녀의 비밀 정력제,드래곤 니시카와,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2018-06-14,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
6059,유부녀의 위험한 알바-위층 남자와,긴다이치 코고로,,(주)플라이어,(주)플라이어,2016-12-07,개봉영화,장편,일본,1,8000,1,0,0,성인물(에로),청소년관람불가,일반영화
6060,유부녀의 육체정산,긴 류지,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2017-08-03,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
6061,유부녀의 음담패설-실화,하세가와 쿠니히로,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2015-11-11,개봉영화,장편,일본,1,5000,1,0,0,성인물(에로),청소년관람불가,일반영화
