title,release-time,genre,historical_drama,adventure,action,crime,fantasy,war,drama,comedy,SF,melo/romance,mystery,thriller,musical,horror,animation,documentry,western,family,show,korea,america,japan,others,national,movie_rating,num_off_screen,screen_share,fsd_num_off_box,num_off_box
극장판 샤이닝스타:새로운 루나퀸의 탄생!,0,animation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,SouthKorea,9.12,117,1.8,5025,15785
킹 오브 프리즘 -샤이니 세븐 스타즈-,0,animation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Japan,2.12,43,0.7,3959,15597
런던 블러바드,1,crime,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,America,5.89,131,3.8,6951,15539
아메리칸 파이: 19금 동창회,0,comedy,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,America,8.13,117,3.3,6485,15431
볼츠와 블립,0,animation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,SouthKorea,7.7,61,1.5,2680,15386
아스테릭스: 신들의 전당,0,animation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,France,8.77,104,2.2,3749,15315
아이 인 더 스카이,0,war,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,England,8.26,205,4.1,5153,15258
토마스와 친구들: 잃어버린 왕관,0,animation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,England,8.38,110,2.6,1390,15202
호비와 무지개 오아시스 대모험,0,animation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Japan,8.84,103,1.6,1902,15101
호비와 후후의 대모험: 무지개꽃을 구하라,0,animation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Japan,5.54,45,1.1,1157,15050
크리드2,0,action,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,America,8.75,298,4.7,6319,15023
나쁜놈은 죽는다,1,comedy,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,China,3.23,138,2.9,2801,14767
"하늘을 나는 강아지, 비포와 친구들",0,animation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Israel,6.17,142,3.2,2722,14746
데드폴,0,crime,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,America,6.51,82,2.1,3073,14744
피노키오의 모험,1,animation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,German,8.23,54,1.1,700,14557
무수단,0,mystery,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,SouthKorea,3.03,228,4.4,6144,14386
아티스트 봉만대,0,comedy,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,SouthKorea,7.74,131,3.6,6452,14188
킹 오브 프리즘 ?샤이니 세븐 스타즈- IV 루이x신x언노운,0,animation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Japan,6.59,30,0.5,2229,13993
프로즌 그라운드,0,thriller,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,America,7.42,88,2.2,4534,13853
헤이츠,0,thriller,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,America,6.61,75,2.1,5078,13747
꼬마비행기 피티와 친구들:사막구출 대작전,0,animation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,China,1.39,212,3.7,2197,13710
피치 퍼펙트,0,comedy,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,America,7.88,143,4.1,5009,13520
원피스 3D : 밀짚모자 체이스,0,animation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Japan,7.15,111,2.9,3343,13475
터미네이터 2 : 심판의 날 감독판,0,action,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,America,9.44,47,1.2,2955,13426
베스트 오브 미,0,dramas,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,America,8.43,118,3.1,4080,13399
토마스와 친구들: 그레이트 레이스,0,animation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,England,8.13,249,4.3,1640,13314
나이트폴,1,action,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Hongkong,8.09,108,3.3,4253,13307
키코리키: 시간여행,0,animation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Russia,6.48,292,4.2,1192,13222
언더 더 씨2,0,animation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,America,2.38,269,4.1,1673,13086
더 레이디,0,dramas,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,France,8.82,97,2.9,6189,13051
아바타 정글의 비밀,0,animation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,China,4.66,162,4,1397,12876
세이빙 미스터 뱅크스,0,comedy,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,America,8.55,56,1.6,2487,12831
킥 애스 2 : 겁없는 녀석들,0,action,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,America,8.16,152,4.2,4255,12827
사다코 2,0,horror,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Japan,4.92,100,2.4,3538,12696
럼 다이어리,1,comedy,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,America,6.03,126,3.7,4664,12685
극장판 토리코 : 미식신의 스페셜메뉴,0,animation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Japan,9.08,38,0.9,299,12635
브로큰 시티,0,crime,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,America,5.86,80,2.5,4567,12557
미스터 라잇,0,action,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,America,7.16,92,2,3110,12465
피터팬: 후크 선장과 결투의 날,0,animation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Ireland,6.53,129,2.2,700,12220
어우동: 주인 없는 꽃,0,melo/romance,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,SouthKorea,4.76,18,0.4,4674,12203
