title,release-time,genre,national,total_revenue,movie_rating,num_off_screen,screen_share,fsd_num_off_box,num_off_box
박수건달,2013.1.9,comedy,SouthKorea,28343986569.0,8.11,599,15.4,232924,3893216
베놈,2018.10.3,action,America,34100211207.0,7.9,1308,23.3,922666,3888096
조선명탐정 : 사라진 놉의 딸,2015.2.11,historical_drama,SouthKorea,30456879428.0,7.67,811,16.7,231929,3872015
역린,2014.4.30,historical_drama,SouthKorea,29893297890.0,7.08,1054,27.1,653407,3849433
매드 맥스: 분노의 도로,2015.5.14,action,America,32906364462.0,8.8,799,20.0,241379,3842441
남한산성,2017.10.3,historical_drama,SouthKorea,31067321992.0,8.09,1229,21.7,1026225,3829891
데드풀 2,2018.5.16,action,America,34185664639.0,8.69,1576,30.4,617729,3784602
암수살인,2018.10.3,crime,SouthKorea,32855895548.0,8.33,1177,22.6,616749,3772620
국가부도의 날,2018.11.28,dramas,SouthKorea,30891765837.0,8.13,1180,20.9,502119,3754983
미이라,2017.6.6,action,America,30504689978.0,7.24,1257,24.7,1088274,3689325
분노의 질주: 더 익스트림,2017.4.12,action,America,29981156348.0,8.96,1469,25.6,371370,3653238
너의 이름은.,2017.1.4,animation,Japan,29248867156.0,8.78,947,14.6,344730,3637122
인턴,2015.9.24,comedy,America,28518443148.0,9.0,496,12.4,138897,3610642
라라랜드,2016.12.7,dramas,America,30006844694.0,8.61,727,14.9,136302,3597193
귀향,2016.2.24,dramas,SouthKorea,27245051990.0,9.16,876,15.1,303970,3586523
신의 한 수,2014.7.3,crime,SouthKorea,28777712256.0,8.03,794,20.3,456881,3562123
코코,2018.1.11,animation,America,27685479440.0,9.3,1177,19.2,232232,3510017
부러진 화살,2012.1.18,dramas,SouthKorea,25878110500.0,8.92,453,12.9,94509,3450941
끝까지 간다,2014.5.29,action,SouthKorea,27006007900.0,9.02,645,16.3,213450,3450143
스파이,2013.9.5,action,SouthKorea,24436429305.0,6.94,785,21.9,330322,3423920
그것만이 내 세상,2018.1.17,comedy,SouthKorea,27441213382.0,8.92,862,15.3,262496,3417629
토이 스토리 4,2019.6.20,animation,America,28757726040.0,9.02,1336,20.8,303389,3399913
돈,2019.3.20,crime,SouthKorea,28869614062.0,7.41,1431,27.0,425005,3389035
맨 인 블랙 3,2012.5.24,action,America,27301520070.0,8.19,770,24.6,344756,3379762
어바웃 타임,2013.12.5,melo/romance,England,24867023000.0,9.18,568,13.0,187075,3375735
악인전,2019.5.15,crime,SouthKorea,29128292150.0,7.88,1307,22.2,366934,3364079
슈퍼배드 3,2017.7.26,animation,America,24216987019.0,8.69,1057,19.3,373300,3324861
데드풀,2016.2.17,action,America,27595618651.0,8.69,1036,20.6,642574,3317196
아이 캔 스피크,2017.9.21,comedy,SouthKorea,25532214986.0,9.37,1140,19.8,240003,3280243
스타워즈: 깨어난 포스,2015.12.17,action,America,28353796331.0,7.75,940,22.4,338231,3273879
분노의 질주: 더 세븐,2015.4.1,action,America,26449334694.0,9.12,983,21.7,261860,3247558
터미네이터 제니시스,2015.7.2,action,America,26546725129.0,7.69,1113,27.9,533984,3239371
그래비티,2013.10.17,SF,America,31484135600.0,8.29,636,18.1,271550,3227452
마녀,2018.6.27,mystery,SouthKorea,27242029463.0,8.21,1117,19.5,224240,3189091
탐정: 리턴즈,2018.6.13,comedy,SouthKorea,26865721678.0,8.4,1041,22.6,343384,3148038
감기,2013.8.14,dramas,SouthKorea,21784202000.0,6.93,806,19.3,877954,3119023
나우 유 씨 미 2,2016.7.13,crime,America,25116690113.0,8.31,1200,19.2,657688,3100113
캐리비안의 해적: 죽은 자는 말이 없다,2017.5.24,action,America,24975495122.0,8.29,1357,27.7,371226,3049894
스물,2015.3.25,comedy,SouthKorea,23558988686.0,7.58,926,21.9,283956,3044134
토르: 다크 월드,2013.10.30,action,America,22525808500.0,8.35,733,19.6,225467,3039889
인크레더블 2,2018.7.18,animation,America,24554683588.0,9.23,1605,25.9,242764,3033052
레드: 더 레전드,2013.7.18,action,America,21511358970.0,8.01,739,19.7,308851,3004647
드래곤 길들이기 2,2014.7.23,animation,America,23979935189.0,8.92,829,22.3,166705,3000056
형,2016.11.23,comedy,SouthKorea,23113768293.0,8.35,993,9.1,233268,2979659
친구 2,2013.11.14,action,SouthKorea,21804687513.0,6.22,968,23.5,568194,2971475
26년,2012.11.29,action,SouthKorea,21241327145.0,6.4,604,17.3,284922,2963449
공조,2017.1.18,action,SouthKorea,23918185757.0,8.27,976,18.2,308020,2957330
서치,2018.8.29,dramas,America,25283364845.0,8.92,816,15.1,123997,2949944
엑스맨: 아포칼립스,2016.5.25,action,America,24467887950.0,8.2,1262,24.1,474561,2938818
프리즌,2017.3.23,crime,SouthKorea,23790276987.0,7.56,1047,19.9,470714,2931897
극비수사,2015.6.18,dramas,SouthKorea,22389535897.0,8.1,894,22.8,393967,2860786
표적,2014.4.30,action,SouthKorea,22256359300.0,7.47,665,18.5,267466,2841788
앤트맨,2015.9.3,action,America,23502249937.0,8.62,949,19.9,396365,2839921
호빗: 다섯 군대 전투,2014.12.17,adventure,America,24268487685.0,8.49,926,22.5,343218,2836774
너의 결혼식,2018.8.22,melo/romance,SouthKorea,23670604369.0,8.41,962,16.3,207108,2820029
호빗: 뜻밖의 여정,2012.12.13,adventure,America,23436820716.0,8.41,1028,29.5,353002,2818993
말모이,2019.1.9,dramas,SouthKorea,23682638520.0,9.11,1203,17.6,399345,2812444
메이즈 러너,2014.9.18,action,America,21489367677.0,8.3,648,14.3,214325,2812427
빅 히어로,2015.1.21,animation,America,21993119765.0,9.12,825,16.0,176871,2801949
덩케르크,2017.7.20,action,America,24576771848.0,8.29,1252,22.2,478305,2792705
메이즈 러너: 스코치 트라이얼,2015.9.16,action,America,21596946349.0,8.07,804,19.8,237867,2744413
가디언즈 오브 갤럭시 VOL. 2,2017.5.3,action,America,23452674686.0,8.94,1218,18.8,840007,2735719
내가 살인범이다,2012.11.8,action,SouthKorea,20338948000.0,8.48,547,17.1,282972,2721903
나우 유 씨 미 : 마술사기단,2013.8.22,crime,America,19146691869.0,8.04,691,17.0,340287,2718227
미스 페레그린과 이상한 아이들의 집,2016.9.28,mystery,America,21841214586.0,8.46,904,16.0,146754,2718158
곤지암,2018.3.28,horror,SouthKorea,21442114144.0,6.4,1124,20.2,384393,2675559
소원,2013.10.2,dramas,SouthKorea,18251983100.0,9.33,641,17.9,327696,2663170
살인자의 기억법,2017.9.6,crime,SouthKorea,21361479492.0,7.69,1064,17.2,291525,2656694
브레이킹 던 part2,2012.11.15,dramas,America,18909583065.0,8.73,665,20.9,406997,2654817
탐정 : 더 비기닝,2015.9.24,comedy,SouthKorea,20463956973.0,8.46,764,14.8,170395,2625686
미니언즈,2015.7.29,animation,America,18997911278.0,7.94,792,18.2,376549,2625572
후궁 : 제왕의 첩,2012.6.6,historical_drama,SouthKorea,19250354500.0,6.92,624,17.3,466512,2621436
트랜스포머: 최후의 기사,2017.6.21,action,America,21501959228.0,6.27,1739,34.9,484567,2614601
제이슨 본,2016.7.27,action,America,21253434663.0,8.39,827,16.7,525779,2611966
지금 만나러 갑니다,2018.3.14,melo/romance,SouthKorea,20800916128.0,8.74,1163,20.5,197751,2602273
도리를 찾아서,2016.7.6,animation,America,20703899933.0,8.52,1091,17.5,162908,2601734
아수라,2016.9.28,crime,SouthKorea,20576226662.0,6.82,1278,26.6,734132,2594028
보안관,2017.5.3,crime,SouthKorea,20697532509.0,7.89,1091,17.0,422723,2571491
기술자들,2014.12.24,crime,SouthKorea,19894297783.0,7.09,641,14.7,761071,2564340
퍼시픽 림,2013.7.11,action,America,20477392512.0,7.67,1005,30.1,439049,2539114
정글북,2016.6.9,adventure,America,21457807134.0,8.45,924,17.0,174903,2532051
목격자,2018.8.15,thriller,SouthKorea,21732042597.0,4.79,1021,15.9,554844,2524086
마이펫의 이중생활,2016.8.3,animation,America,19379904655.0,8.57,726,13.4,347114,2517805
증인,2019.2.13,dramas,SouthKorea,20312348931.0,9.09,1047,17.0,203349,2516128
조작된 도시,2017.2.9,crime,SouthKorea,20119979587.0,8.04,1019,15.3,362610,2512572
반창꼬,2012.12.19,melo/romance,SouthKorea,17883988787.0,8.58,466,11.3,286338,2471721
보스 베이비,2017.5.3,animation,America,18918869704.0,8.67,1116,16.3,442620,2450023
화차,2012.3.8,mystery,SouthKorea,18450760000.0,8.05,548,15.9,187361,2435211
이웃사람,2012.8.22,thriller,SouthKorea,18087442369.0,7.53,600,16.3,313516,2434099
조선명탐정: 흡혈괴마의 비밀,2018.2.8,historical_drama,SouthKorea,19690818764.0,6.62,1249,19.3,333612,2424330
재심,2017.2.15,dramas,SouthKorea,19263100637.0,8.51,935,14.6,267547,2420729
신비한 동물들과 그린델왈드의 범죄,2018.11.14,fantasy,America,20816583118.0,6.17,1601,33.1,496713,2414062
사바하,2019.2.20,mystery,SouthKorea,20002183194.0,7.3,1174,18.8,336676,2397792
화이: 괴물을 삼킨 아이,2013.10.9,action,SouthKorea,17678676795.0,7.84,817,22.0,494466,2391963
007 스카이폴,2012.10.26,action,America,17487213000.0,7.89,748,22.5,575193,2376145
박열,2017.6.28,dramas,SouthKorea,18093543795.0,8.1,1176,23.4,362461,2359174
스파이,2015.5.21,action,America,18396836358.0,8.81,665,17.3,188723,2315882
모아나,2017.1.12,animation,America,18055062307.0,9.18,953,15.6,174270,2310054
테이큰 2,2012.9.27,action,France,17581098553.0,6.99,682,18.3,413727,2308596
메이즈 러너: 데스 큐어,2018.1.17,action,America,18902873104.0,7.84,1090,18.2,396891,2299732
맘마미아!2,2018.8.8,musical,America,19532365003.0,8.97,750,13.4,342614,2285143
호빗: 스마우그의 폐허,2013.12.12,adventure,America,17850613316.0,8.48,811,20.9,304542,2282744
컨저링,2013.9.17,horror,America,16353225777.0,7.86,553,13.4,176076,2262758
배트맨 대 슈퍼맨: 저스티스의 시작,2016.3.24,action,America,18906246428.0,6.86,1709,35.1,466842,2256913
레디 플레이어 원,2018.3.28,action,America,19933108071.0,8.52,1079,20.4,244972,2254430
배틀쉽,2012.4.11,SF,America,16545921500.0,7.42,736,22.2,522084,2241687
악의 연대기,2015.5.14,thriller,SouthKorea,17360123332.0,7.6,776,19.0,296140,2192243
강남 1970,2015.1.21,action,SouthKorea,17717971499.0,7.14,841,16.2,291904,2192172
맨 오브 스틸,2013.6.13,SF,America,17092964063.0,7.91,998,30.2,398638,2182227
원더 우먼,2017.5.31,action,America,17468588886.0,7.68,1034,19.7,327172,2165401
겟 아웃,2017.5.17,horror,America,17431570075.0,5.71,945,15.5,201027,2138146
나의 사랑 나의 신부,2014.10.8,melo/romance,SouthKorea,16592056305.0,7.96,629,15.1,302282,2135614
굿바이 싱글,2016.6.29,comedy,SouthKorea,16912706195.0,8.1,841,15.2,256035,2108273
몽타주,2013.5.16,thriller,SouthKorea,15000722500.0,8.55,540,15.9,275854,2095375
명당,2018.9.19,historical_drama,SouthKorea,17900775524.0,7.06,1117,21.1,210105,2087474
논스톱,2014.2.27,action,America,16066174940.0,8.61,582,13.3,267427,2084457
내부자들: 디 오리지널,2015.12.31,crime,SouthKorea,16973885275.0,9.04,838,14.7,408140,2083999
장화신은 고양이,2012.1.12,animation,America,17601188500.0,8.4,593,16.7,206107,2080154
인투 더 스톰,2014.8.28,action,America,16155930332.0,8.24,585,12.5,222803,2078492
로건,2017.3.1,action,America,17590962723.0,9.07,954,16.4,446883,2070084
뷰티 인사이드,2015.8.20,fantasy,SouthKorea,16152717131.0,7.77,648,13.7,262475,2053947
혹성탈출: 종의 전쟁,2017.8.15,action,America,16851234778.0,7.92,1017,17.8,734338,2050909
봉이 김선달,2016.7.6,historical_drama,SouthKorea,16172133642.0,7.71,942,15.7,269290,2044564
노아,2014.3.20,adventure,America,15514083500.0,6.06,952,21.5,373571,2026574
레버넌트: 죽음에서 돌아온 자,2016.1.14,adventure,America,16107288130.0,7.85,967,16.2,259367,2007180
남자가 사랑할 때,2014.1.22,melo/romance,SouthKorea,14510222300.0,8.7,531,12.9,191305,1979311
루시,2014.9.3,action,America,16439450039.0,7.12,641,12.8,272932,1971837
협상,2018.9.19,crime,SouthKorea,17032133166.0,7.32,919,17.7,193345,1967721
알리타: 배틀 엔젤,2019.2.5,action,America,18527661667.0,8.69,1043,17.7,559393,1949372
애나벨 : 인형의 주인,2017.8.10,horror,America,15526858738.0,7.29,1006,16.6,381542,1934192
컨저링 2,2016.6.9,horror,America,15737956229.0,8.24,635,12.1,180030,1926201
터보,2013.7.25,animation,America,13113579000.0,9.05,634,14.8,205070,1923748
내안의 그놈,2019.1.9,fantasy,SouthKorea,16293580567.0,8.17,1041,15.3,200817,1901684
수어사이드 스쿼드,2016.8.3,action,America,15873106188.0,6.96,823,15.4,654993,1898121
오늘의 연애,2015.1.14,melo/romance,SouthKorea,14924654487.0,6.64,709,14.2,294805,1891993
연애의 온도,2013.3.21,melo/romance,SouthKorea,13798864446.0,7.47,567,15.4,225001,1865195
마약왕,2018.12.19,crime,SouthKorea,16222446942.0,6.33,1297,20.1,454497,1864076
테이큰 3,2015.1.1,action,America,15088105000.0,7.87,616,12.7,662563,1860934
코리아,2012.5.3,dramas,SouthKorea,13334762500.0,8.55,537,18.2,181708,1857392
